Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
Adamantina ,"Alameda dos Expedicionários, 864 - Centro - Adamantina - 17800-000 ","Alameda dos Expedicionários, 864 - Centro - Adamantina - 17800-000 ",10,10
Aguaí ,"Av. Olinda Silveira Cruz Braga, 200 - Parque Interlagos - Aguaí - 13860-000 ","Av. Olinda Silveira Cruz Braga, 200 - Parque Interlagos - Aguaí - 13860-000 ",10,10
Agudos ,"R. João Pessoa, 2 - Professor Simões - Agudos   17120-000 ","R. João Pessoa, 2 - Professor Simões - Agudos   17120-000 ",10,10
Altinópolis ,"R. Alagoas, 248 - Vila Maria - Altinópolis   14350-000 ","R. Alagoas, 248 - Vila Maria - Altinópolis   14350-000 ",10,10
Alumínio ,"Av. Senador José Ermírio de Moraes, 798 - Vila Industrial - Alumínio   18125-000 ","Av. Senador José Ermírio de Moraes, 798 - Vila Industrial - Alumínio   18125-000 ",10,10
Alvinlandia,"R. Vereador Antonio Teruel, 670 - Centro - Alvinlandia - 17430- 000 ","R. Vereador Antonio Teruel, 670 - Centro - Alvinlandia - 17430- 000 ",10,10
Americana ,"R. das Hortências, 1555 - Cidade Jardim - Americana - 13467- 190 ","R. das Hortências, 1555 - Cidade Jardim - Americana - 13467- 190 ",50,50
Américo Brasiliense ,"Av. Nove de Julho, 192 - Centro - Américo Brasiliense - 14820- 000 ","Av. Nove de Julho, 192 - Centro - Américo Brasiliense - 14820- 000 ",10,10
Amparo ,"R. Gustavo de Souza, 108 - Ribeirão Amparo - Amparo - 13904- 903 ","R. Gustavo de Souza, 108 - Ribeirão Amparo - Amparo - 13904- 903 ",25,25
Andradina ,"R. Humberto de Campos, 229 - Centro - Andradina   16901-012 ","R. Humberto de Campos, 229 - Centro - Andradina   16901-012 ",20,20
Anhembi ,"R. Prefeito Spedito Scalise , S/N - Morada do Sol - Anhembi - 18620-000 ","R. Prefeito Spedito Scalise , S/N - Morada do Sol - Anhembi - 18620-000 ",10,10
Aparecida ,"Praça Pe. Victor Coelho de Almeida, 100 - Jardim São Paulo - Aparecida   12570-000 ","Praça Pe. Victor Coelho de Almeida, 100 - Jardim São Paulo - Aparecida   12570-000 ",10,10
